GEO.display-label,Percent Employed
Alabama,57.6
Alaska,67.5
Arizona,59.1
Arkansas,58.1
California,63
Colorado,67.5
Connecticut,66.9
Delaware,62.7
District of Columbia,68.8
Florida,58.5
Georgia,62.3
Hawaii,61.8
Idaho,62.3
Illinois,65.4
Indiana,63.9
Iowa,67.6
Kansas,66
Kentucky,59
Louisiana,60
Maine,63
Maryland,67.6
Massachusetts,67.4
Michigan,61.1
Minnesota,69.8
Mississippi,57.4
Missouri,62.9
Montana,63.2
Nebraska,69.7
Nevada,63.9
New Hampshire,68
New Jersey,65.7
New Mexico,58.5
New York,63.3
North Carolina,61.5
North Dakota,69.5
Ohio,63.2
Oklahoma,60.9
Oregon,61.9
Pennsylvania,62.6
Rhode Island,65
South Carolina,60
South Dakota,68.3
Tennessee,60.8
Texas,64.2
Utah,67.7
Vermont,66.2
Virginia,64.5
Washington,63.3
West Virginia,53.8
Wisconsin,66.9
Wyoming,67.2
Puerto Rico,44.8
